Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message,
357601,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2009-13,13604,,
357602,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2009-13,30221,,
357603,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2009-13,76284,,
357604,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2009-13,69708,,
357605,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2009-13,82665,,
357606,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2009-13,79874,,
357607,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2009-13,56177,,
357608,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),201,Greenpoint,2009-13,35607,,
357609,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2009-13,39556,,
357610,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2009-13,87731,,
357611,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),204,East New York,2009-13,61136,,
357612,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),205,Sunset Park,2009-13,38987,,
357613,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),206,Borough Park,2009-13,86311,,
357614,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2009-13,55807,,
357615,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2009-13,25749,,
357616,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2009-13,29908,,
357617,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2009-13,52212,,
357618,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2009-13,70374,,
357619,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),301,Washington Heights,2009-13,67762,,
357620,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2009-13,47166,,
357621,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),303,East Harlem,2009-13,34548,,
357622,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),304,Upper West Side,2009-13,25503,,
357623,233,3,2,103,109,Poverty,Number,UHF42,Neighborhood (UHF 42),305,Upper East Side,2009-13,14516,,
